"id","pmid","nam","des","syn","mol","form","iup","smi","pdb","kegg","hmdb","mp","ws","db","rec","ref"
"20001","123917","2;3-bis(3'-hydroxybenzyl)butyrolactone","lignand isolated from urine of humans and other mammals; RN given  refers to cpd without isomeric designation; structure given in second  source","Enterolactone  BHMDF  HPMF  2;3-Bhbb  trans-2;3-Bis(3-hydroxybenzyl)-gamma-butyrolactone  3;4-Bis((3-hydroxyphenyl)methyl)dihydro-2-(3H)-furanone  2;3-bis(3'-hydroxybenzyl)butyrolactone","298.33","C18H18O4","3;4-bis[(3-hydroxyphenyl)methyl]oxolan-2-one","C1C(C(C(=O)O1)CC2=CC(=CC=C2)O)CC3=CC(=CC=C3)O","NA","NA","NA","NA","NA","NA","Q9YHT3; P49884; P06212; Q91424; P57717; Q53AD2; Q9TV98; P03372; Q9YHZ7; P49886; Q9QZJ5; P57753; P19785; P16058; P50240; Q9YH33; P50241; O42132; Q29040","Pubchem"
"20002","5282280","2-arachidonylglycerol","binds to cannabinoid receptors; structure in first source","2-Arachidonylglycerol  2-Ara-Gl  2-AG","378.55","C23H38O4","1;3-dihydroxypropan-2-yl (5Z;8Z;11Z;14Z)-icosa-5;8;11;14-tetraenoate","CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)CO","NA","C13856","HMDB0004666","NA","NA","NA","P47936","Pubchem"
"20003","92810","5-alpha-Dihydroprogesterone","A biologically active 5-alpha-reduced metabolite of plasma  PROGESTERONE. It is the immediate precursor of  5-alpha-pregnan-3-alpha-ol-20-one (ALLOPREGNANOLONE); a neuroactive  steroid that binds with GABA(A) RECEPTOR.","3;20-Allopregnanedione  5-alpha-Dihydroprogesterone  3;20-Dioxo-5alpha-pregnane  5alpha-Pregnane-3;20-dione  Allopregnane-3;20-dione  5beta-Pregnane-3;20-dione","316.48","C21H32O2","(5S;8R;9S;10S;13S;14S;17S)-17-acetyl-10;13-dimethyl-1;2;4;5;6;7;8;9;11;12;14;15;16;17-tetradecahydrocyclopenta[a]phenanthren-3-one","CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C","NA","C03681","HMDB0003759","200","NA","NA","Q9GLW0; P07812; P06401; P79373; Q00175; P06186; Q8AYI2; Q63449; Q28590; Q6Q6S5; Q8NG42; Q8NG43; Q8NG44; Q8TDS3; Q8UVY3","Pubchem; HMDB"
"20004","6238","17-alpha-Hydroxyprogesterone","A metabolite of PROGESTERONE with a hydroxyl group at the 17-alpha  position. It serves as an intermediate in the biosynthesis of  HYDROCORTISONE and GONADAL STEROID HORMONES.","Prodix  Prodox  Gestageno gador  hydroxyprogesterone  Proluton  Setaderm  Oxiprogesteronum  17-Hydroxyprogesterone  17-alpha-Hydroxyprogesterone  Idrossiprogesterone","330.46","C21H30O3","(8R;9S;10R;13S;14S;17R)-17-acetyl-17-hydroxy-10;13-dimethyl-2;6;7;8;9;11;12;14;15;16-decahydro-1H-cyclopenta[a]phenanthren-3-one","CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O","NA","C01176","HMDB0000374","","6.48mg/ml at 27C","NA","P06401; Q8NG42; Q8NG43; Q8NG44; Q8TDS3","Pubchem; HMDB"
"20005","169870","17-alpha-hydroxy-progesterone caproate","NA","Delalutin 17-alpha-hydroxy-progesterone caproate  Primolut Depot  Estralutin  Hormofort  Hyproval  Kaprogest  Syngynon  Hylutin  Relutin  Lutate","428.6","C27H40O4","[(8R;9S;10R;13S;14S;17R)-17-acetyl-10;13-dimethyl-3-oxo-2;6;7;8;9;11;12;14;15;16-decahydro-1H-cyclopenta[a]phenanthren-17-yl] hexanoate","CCCCCC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(=O)C","NA","C08148; D00949","NA","NA","NA","NA","P06401; P06186; P59667","Pubchem"
"20006","440573","17-Hydroxypregnenolone","A 21-carbon steroid that is converted from PREGNENOLONE by STEROID  17-ALPHA-HYDROXYLASE. It is an intermediate in the delta-5 pathway of  biosynthesis of GONADAL STEROID HORMONES and the adrenal  CORTICOSTEROIDS.","17alpha-Hydroxypregnenolone","332.48","C21H32O3","1-[(3S;8R;9S;10R;13S;17R)-3;17-dihydroxy-10;13-dimethyl-1;2;3;4;7;8;9;11;12;14;15;16-dodecahydrocyclopenta[a]phenanthren-17-yl]ethanone","CC(=O)C1(CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)O","NA","C05138","HMDB0000363","NA","NA","NA","Q8SQ01; O54915; Q9R1A7; Q8JIZ9; Q8QGH6; Q8SQ00; Q8SQ02","Pubchem; HMDB"
"20007","11222","18-hydroxycorticosterone","11 beta;18;21-Trihydroxypregn-4-ene-3;20-dione.","18-HYDROXYCORTICOSTERONE  11beta;18;21-Trihydroxypregn-4-ene-3;20-dione","362.46","C21H30O5","(8S;9S;10R;11S;13R;14S;17S)-11-hydroxy-17-(2-hydroxyacetyl)-13-(hydroxymethyl)-10-methyl-1;2;6;7;8;9;11;12;14;15;16;17-dodecahydrocyclopenta[a]phenanthren-3-one","CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)CO)O","NA","C01124","HMDB0000319","NA","NA","NA","NA","Pubchem"
"20008","8956","20-alpha-Dihydroprogesterone","A biologically active 20-alpha-reduced metabolite of PROGESTERONE. It  is converted from progesterone to 20-alpha-hydroxypregn-4-en-3-one by  the 20-ALPHA-HYDROXYSTEROID DEHYDROGENASE in the CORPUS LUTEUM and the  PLACENTA.","Dihydrogesterone  20alpha-Progerol  Progesterol-20-alpha  20-alpha-Dihydroprogesterone  20(S)-Hydroxyprogesterone  20alpha-Dihydroprognenolone  20-alpha-Hydroxyprogesterone","316.48","C21H32O2","(8S;9S;10R;13S;14S;17S)-17-(1-hydroxyethyl)-10;13-dimethyl-1;2;6;7;8;9;11;12;14;15;16;17-dodecahydrocyclopenta[a]phenanthren-3-one","CC(C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O","1MRQ","C04042","HMDB0003069","NA","NA","NA","NA","Pubchem; HMDB"
"20009","636374","Alclometasone dipropionate","NA","Aclovate alclometasone dipropionate  alclometasone  Aclosone  Legederm  Modrasone Delonal Almeta  Vaderm","521.04","C28H37ClO7","[(7R;8S;9S;10R;11S;13S;14S;16R;17R)-7-chloro-11-hydroxy-10;13;16-trimethyl-3-oxo-17-(2-propanoyloxyacetyl)-7;8;9;11;12;14;15;16-octahydro-6H-cyclopenta[a]phenanthren-17-yl] propanoate","CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3C2C(CC4=CC(=O)C=CC34C)Cl)O)C)C)OC(=O)CC","NA","D01820","NA","NA","NA","DB00240","NA","Pubchem"
"20010","5839","Aldosterone","A hormone secreted by the ADRENAL CORTEX that regulates electrolyte  and water balance by increasing the renal retention of sodium and the  excretion of potassium.","ALDOSTERONE Electrocortin  Aldocortin  Elektrocortin  Aldocorten  Aldocortene  d-Aldosterone  Reichstein X  (+)-Aldosterone  18-Oxocorticosterone","360.44","C21H28O5","(8S;9S;10R;11S;13R;14S;17S)-11-hydroxy-17-(2-hydroxyacetyl)-10-methyl-3-oxo-1;2;6;7;8;9;11;12;14;15;16;17-dodecahydrocyclopenta[a]phenanthrene-13-carbaldehyde","CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O","NA","C01780","HMDB0000037","166.5","51.2mg/ml at 37C","DB04630","P08235","Pubchem; HMDB"
